time	V(vout1)	V(u1:n_state)	V(u1:r_hs)	V(u1:tsub)	V(u1:ttherm)	I(u1:B_ir)	I(u1:B_isw)	I(u1:B_ph)	abs(I(u1:L_kinetic))
2.357632298973567e-009	5.782104e-004	1.000000e+000	1.694012e+003	6.544104e+000	3.544104e+000	1.815648e-006	4.304304e-006	0.000000e+000	2.117896e-006
2.363913118649693e-009	5.864373e-004	1.000000e+000	1.698762e+003	6.552683e+000	3.552683e+000	1.813679e-006	4.293554e-006	0.000000e+000	2.035627e-006
2.370193938325819e-009	5.943492e-004	1.000000e+000	1.702228e+003	6.560375e+000	3.560375e+000	1.811912e-006	4.283908e-006	0.000000e+000	1.956508e-006
2.376474758001946e-009	6.019460e-004	1.000000e+000	1.704410e+003	6.567182e+000	3.567182e+000	1.810346e-006	4.275368e-006	0.000000e+000	1.880540e-006
2.382755577678072e-009	6.092279e-004	1.000000e+000	1.705308e+003	6.573103e+000	3.573103e+000	1.808982e-006	4.267933e-006	0.000000e+000	1.807722e-006
2.382825770419356e-009	6.093073e-004	1.000000e+000	1.705308e+003	6.573167e+000	3.573167e+000	1.808967e-006	4.267853e-006	0.000000e+000	1.806927e-006
2.382895942036643e-009	6.093867e-004	1.000000e+000	1.705308e+003	6.573231e+000	3.573231e+000	1.808952e-006	4.267773e-006	0.000000e+000	1.806133e-006
2.382969845921402e-009	6.094703e-004	1.000000e+000	1.705307e+003	6.573298e+000	3.573298e+000	1.808937e-006	4.267688e-006	0.000000e+000	1.805297e-006
2.383060024775929e-009	6.095722e-004	1.000000e+000	1.705306e+003	6.573380e+000	3.573379e+000	1.808918e-006	4.267586e-006	0.000000e+000	1.804278e-006
2.383160024775930e-009	6.096851e-004	1.000000e+000	1.705304e+003	6.573470e+000	3.573470e+000	1.808897e-006	4.267472e-006	0.000000e+000	1.803149e-006
2.383260024775930e-009	6.097980e-004	1.000000e+000	1.705302e+003	6.573560e+000	3.573560e+000	1.808876e-006	4.267359e-006	0.000000e+000	1.802020e-006
2.383360024775930e-009	6.099108e-004	1.000000e+000	1.705298e+003	6.573650e+000	3.573650e+000	1.808855e-006	4.267246e-006	0.000000e+000	1.800892e-006
2.383460024775930e-009	6.100235e-004	1.000000e+000	1.705294e+003	6.573740e+000	3.573740e+000	1.808835e-006	4.267133e-006	0.000000e+000	1.799765e-006
2.383560024775930e-009	6.101361e-004	1.000000e+000	1.705289e+003	6.573830e+000	3.573830e+000	1.808814e-006	4.267020e-006	0.000000e+000	1.798639e-006
2.383660024775930e-009	6.102487e-004	1.000000e+000	1.705283e+003	6.573920e+000	3.573920e+000	1.808793e-006	4.266908e-006	0.000000e+000	1.797514e-006
2.383760024775930e-009	6.103611e-004	1.000000e+000	1.705277e+003	6.574009e+000	3.574009e+000	1.808773e-006	4.266795e-006	0.000000e+000	1.796389e-006
2.383860024775930e-009	6.104734e-004	1.000000e+000	1.705269e+003	6.574098e+000	3.574098e+000	1.808752e-006	4.266683e-006	0.000000e+000	1.795265e-006
2.383960024775930e-009	6.105858e-004	1.000000e+000	1.705261e+003	6.574187e+000	3.574188e+000	1.808732e-006	4.266572e-006	0.000000e+000	1.794142e-006
2.384060024775930e-009	6.106980e-004	1.000000e+000	1.705252e+003	6.574276e+000	3.574276e+000	1.808711e-006	4.266460e-006	0.000000e+000	1.793020e-006
2.384160024775930e-009	6.108101e-004	1.000000e+000	1.705243e+003	6.574365e+000	3.574365e+000	1.808691e-006	4.266348e-006	0.000000e+000	1.791899e-006
2.384260024775930e-009	6.109222e-004	1.000000e+000	1.705232e+003	6.574454e+000	3.574454e+000	1.808670e-006	4.266237e-006	0.000000e+000	1.790778e-006
2.384360024775930e-009	6.110341e-004	1.000000e+000	1.705221e+003	6.574542e+000	3.574542e+000	1.808650e-006	4.266126e-006	0.000000e+000	1.789659e-006
2.384460024775930e-009	6.111460e-004	1.000000e+000	1.705209e+003	6.574630e+000	3.574630e+000	1.808630e-006	4.266015e-006	0.000000e+000	1.788540e-006
2.384560024775930e-009	6.112579e-004	1.000000e+000	1.705196e+003	6.574718e+000	3.574718e+000	1.808609e-006	4.265905e-006	0.000000e+000	1.787422e-006
2.384660024775930e-009	6.113696e-004	1.000000e+000	1.705183e+003	6.574806e+000	3.574806e+000	1.808589e-006	4.265794e-006	0.000000e+000	1.786305e-006
2.384760024775930e-009	6.114811e-004	1.000000e+000	1.705168e+003	6.574894e+000	3.574894e+000	1.808569e-006	4.265684e-006	0.000000e+000	1.785188e-006
2.384960024775930e-009	6.117042e-004	1.000000e+000	1.705137e+003	6.575069e+000	3.575069e+000	1.808529e-006	4.265465e-006	0.000000e+000	1.782958e-006
2.385160024775930e-009	6.119269e-004	1.000000e+000	1.705103e+003	6.575243e+000	3.575243e+000	1.808488e-006	4.265245e-006	0.000000e+000	1.780731e-006
2.385360024775930e-009	6.121492e-004	1.000000e+000	1.705065e+003	6.575417e+000	3.575417e+000	1.808448e-006	4.265028e-006	0.000000e+000	1.778507e-006
2.385560024775930e-009	6.123713e-004	1.000000e+000	1.705025e+003	6.575590e+000	3.575590e+000	1.808409e-006	4.264810e-006	0.000000e+000	1.776287e-006
2.385760024775930e-009	6.125930e-004	1.000000e+000	1.704981e+003	6.575762e+000	3.575763e+000	1.808369e-006	4.264594e-006	0.000000e+000	1.774070e-006
2.386060024775930e-009	6.129249e-004	1.000000e+000	1.704909e+003	6.576020e+000	3.576020e+000	1.808310e-006	4.264271e-006	0.000000e+000	1.770751e-006
2.386360024775930e-009	6.132561e-004	1.000000e+000	1.704830e+003	6.576275e+000	3.576275e+000	1.808251e-006	4.263950e-006	0.000000e+000	1.767439e-006
2.386660024775931e-009	6.135866e-004	1.000000e+000	1.704744e+003	6.576530e+000	3.576530e+000	1.808192e-006	4.263631e-006	0.000000e+000	1.764134e-006
2.386960024775931e-009	6.139163e-004	1.000000e+000	1.704650e+003	6.576782e+000	3.576782e+000	1.808134e-006	4.263314e-006	0.000000e+000	1.760837e-006
2.387888596204503e-009	6.149322e-004	1.000000e+000	1.704317e+003	6.577555e+000	3.577555e+000	1.807956e-006	4.262344e-006	0.000000e+000	1.750679e-006
2.388817167633074e-009	6.159408e-004	1.000000e+000	1.703910e+003	6.578314e+000	3.578314e+000	1.807781e-006	4.261391e-006	0.000000e+000	1.740592e-006
2.389745739061646e-009	6.169422e-004	1.000000e+000	1.703430e+003	6.579059e+000	3.579059e+000	1.807609e-006	4.260455e-006	0.000000e+000	1.730578e-006
2.390674310490217e-009	6.179364e-004	1.000000e+000	1.702877e+003	6.579791e+000	3.579791e+000	1.807440e-006	4.259536e-006	0.000000e+000	1.720636e-006
2.391602881918789e-009	6.189234e-004	1.000000e+000	1.702250e+003	6.580509e+000	3.580509e+000	1.807275e-006	4.258634e-006	0.000000e+000	1.710766e-006
2.392531453347361e-009	6.199032e-004	1.000000e+000	1.701551e+003	6.581213e+000	3.581213e+000	1.807113e-006	4.257750e-006	0.000000e+000	1.700968e-006
2.393460024775933e-009	6.208757e-004	1.000000e+000	1.700778e+003	6.581904e+000	3.581904e+000	1.806953e-006	4.256882e-006	0.000000e+000	1.691243e-006
2.394931453347362e-009	6.224021e-004	1.000000e+000	1.699406e+003	6.582971e+000	3.582971e+000	1.806707e-006	4.255543e-006	0.000000e+000	1.675979e-006
2.396402881918791e-009	6.239099e-004	1.000000e+000	1.697823e+003	6.584006e+000	3.584006e+000	1.806468e-006	4.254242e-006	0.000000e+000	1.660901e-006
2.397874310490220e-009	6.253994e-004	1.000000e+000	1.696027e+003	6.585010e+000	3.585010e+000	1.806237e-006	4.252981e-006	0.000000e+000	1.646006e-006
2.399345739061649e-009	6.268703e-004	1.000000e+000	1.694020e+003	6.585983e+000	3.585983e+000	1.806012e-006	4.251759e-006	0.000000e+000	1.631297e-006
2.400817167633078e-009	6.283228e-004	1.000000e+000	1.691800e+003	6.586925e+000	3.586925e+000	1.805795e-006	4.250576e-006	0.000000e+000	1.616772e-006
2.402288596204507e-009	6.297568e-004	1.000000e+000	1.689369e+003	6.587836e+000	3.587836e+000	1.805585e-006	4.249432e-006	0.000000e+000	1.602432e-006
2.403760024775936e-009	6.311723e-004	1.000000e+000	1.686726e+003	6.588715e+000	3.588715e+000	1.805382e-006	4.248327e-006	0.000000e+000	1.588277e-006
2.405545739061651e-009	6.328653e-004	1.000000e+000	1.683235e+003	6.589742e+000	3.589742e+000	1.805145e-006	4.247036e-006	0.000000e+000	1.571347e-006
2.407331453347365e-009	6.345304e-004	1.000000e+000	1.679331e+003	6.590729e+000	3.590729e+000	1.804917e-006	4.245796e-006	0.000000e+000	1.554696e-006
